"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"80","Artaburu","9a+/b","Margalef","Spain","Iker Pou","2018-12-19","Iker Pou","2018-12-19","Redpoint","",""
"81","Catxasa (R2)","9a+/b","Santa Linya","Spain","Ramón Julián Puigblanqué","2012-06-29","Ramón Julián Puigblanqué","2012-06-29","Redpoint","",""
"82","El bon combat","9a+/b","Cova de l'Ocell–Sant Miquel del Fai","Spain","Chris Sharma","2015-03-07","Chris Sharma","2015-03-07","Redpoint","Original grade 9b/b+",""
"83","El bon combat","9a+/b","Cova de l'Ocell–Sant Miquel del Fai","Spain","Chris Sharma","2015-03-07","Jakob Schubert","2018-12-01","Redpoint","Suggests 9a+/b",""
"84","El bon combat","9a+/b","Cova de l'Ocell–Sant Miquel del Fai","Spain","Chris Sharma","2015-03-07","Felipe Camargo","2019-04-19","Redpoint","Suggests 9b",""
"85","El bon combat","9a+/b","Cova de l'Ocell–Sant Miquel del Fai","Spain","Chris Sharma","2015-03-07","Jorge Díaz-Rullo","2020-09-28","Redpoint","Suggests 9b","https://www.desnivel.com/escalada-roca/jorge-diaz-rullo-repite-el-bon-combat-9b-en-la-cova-de-locell/"
"86","Following the Leader","9a+/b","Cuenca","Spain","Pablo Barbero","2014-11","Jorge Díaz-Rullo","2019-10-16","Redpoint","Claims 9a+/b after breakage",""
"87","High Line","9a+/b","Kanjon Tjesno","Bosnia","Adam Ondra","2018-09","Adam Ondra","2018-09","Redpoint","",""
"88","Las Meninas R2","9a+/b","Rodellar","Spain","Jorge Díaz-Rullo","2020-08-16","Jorge Díaz-Rullo","2020-08-16","Redpoint","","https://www.desnivel.com/escalada-roca/jorge-diaz-rullo-propone-9a-b-para-las-meninas-r2-en-rodellar/"
"89","Las Meninas R2","9a+/b","Rodellar","Spain","Jorge Díaz-Rullo","2020-08-16","Jonatan Flor","2020-08-20","Redpoint","","https://www.desnivel.com/escalada-roca/jonatan-flor-repite-las-meninas-r2-9a-b-en-rodellar/"
"90","Les yeux plus gros que l'antre","9a+/b","Russan","France","Sébastien Bouin","2018-04-03","Sébastien Bouin","2018-04-03","Redpoint","",""
"91","Marina Superstar","9a+/b","Domusnovas","Italy","Adam Ondra","2009-10","Adam Ondra","2009-10","Redpoint","",""
"92","Supernova","9a+/b","Frankenjura","Germany","Alexander Megos","2015-10-01","Alexander Megos","2015-10-01","Redpoint","",""
"93","Torture physique","9a+/b","Gastlösen","Switzerland","Adam Ondra","2013-07","Adam Ondra","2013-07","Redpoint","",""
"94","Viscious circle","9a+/b","Osp","Slovenia","Adam Ondra","2016-03-25","Adam Ondra","2016-03-25","Redpoint","",""
"95","120 Degrees","9a+","Flatanger","Norway","Adam Ondra","2016-06-16","Adam Ondra","2016-06-16","Redpoint","",""
