"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Ascents"
"122","Sacrifice","9a+","Echo Valley","Canada","Adam Ondra","2018-07-23",1
"123","La Côte d'Usure","9a+","Verdon","France","Sébastien Bouin","2018-09-23",1
"124","Energia Cosmica","9a+","Bilico","Italy","Alessandro Zeni","2018-11",1
"125","Rise","9a+","Futago-yama","Japan","Sachi Amma","2018-11",1
"126","Circo Iberico","9a+","Cuenca","Spain","Jorge Diaz-Rullo","2018-11-02",1
"127","Czech Trip","9a+","Mavrovo","Macedonia","Adam Ondra","2018-12-19",1
"128","Dugi Rat","9a+","Vrulja","Croatia","Jernej Kruder","2018-12-31",1
"129","Valhalla P5","9a+","Getu","China","Edu Marin","2019-01-20",1
"130","All you can eat","9a+","Mount Potasi","United States","Jonathan Siegrist","2019-03-29",1
"131","Patanics","9a+","Rodellar","Spain","Jorge Díaz-Rullo","2019-08-26",2
"132","Ataxia Extension","9a+","Crevillent","Spain","Jonathan Guadalcázar","2019-10",1
"133","The Clinic","9a+","Quzhou","China","Edu Marin","2019-12-03",1
"134","Viaje Morfo","8c","Tarbena","Spain","Jonathan Guadalcázar","2019-08-05",2
